track_file; hashed_config; timestamp of the run; had_video; was_guided; was_force_merge_allowed; distance_from_calculated_arena; min_trace_length; bee_max_step_length; bee_max_step_len_per_frame; min_trace_length_to_merge; max_trace_gap; max_overlap_length; max_step_distance_to_merge_overlapping_traces; min_step_distance_to_merge_overlapping_traces; max_shift; force_merge_vicinity_distance; vicinity_of_short_traces; maximal_distance_to_check_for_trace_swapping; max_trace_gap_to_interpolate_distance; screen_size; loaded traces; inside arena; zero length; jumps forth and back fixed; traces swapped; after first gaps and redundant; after merging overlapping traces; population size; ;file_id 
../data/Video_tracking/190904/20190904_124852149_1BEE_generated_20210520_095527_nn.csv; 5537095342118715238; 2023-03-16 02:15:27.821540; False; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 4; 4; 3; 1; 0; 3; 3; 1; ;7 
../data/Video_tracking/190904/20190904_124852149_1BEE_generated_20210520_095527_nn.csv; 3282990644793373777; 2023-03-21 17:16:54.001680; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 4; 4; 3; 1; 0; 3; 3; 1; ;7 
../data/Video_tracking/190904/20190904_124852149_1BEE_generated_20210520_095527_nn.csv; 3282990644793373777; 2023-03-27 14:13:34.260276; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 4; 4; 3; 1; 0; 3; 3; 1; ;7 
../data/Video_tracking/190904/20190904_124852149_1BEE_generated_20210520_095527_nn.csv; 3282990644793373777; 2023-03-27 15:05:22.180751; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 200; 508; 200; 100;  50; [[0, 900], [0, 900]]; 4; 4; 3; 1; 0; 3; 3; 1; ;7 
../data/Video_tracking/190904/20190904_124852149_1BEE_generated_20210520_095527_nn.csv; 273294897399109140; 2023-04-16 19:40:41.182009; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 4; 4; 3; 1; 0; 3; 3; 1; ;7 
../data/Video_tracking/190904/20190904_124852149_1BEE_generated_20210520_095527_nn.csv; 1695910011231050619; 2023-04-20 11:43:40.176032; False; False; False; 49; 100; 70; 20; 50; 100; 172; 120; 43; 90; 508; 200; 100;  50; [[0, 900], [0, 900]]; 4; 4; 3; 1; 0; 3; 3; 1; ;7 
7
../data/Video_tracking/190904/20190904_165817979_1BEE_generated_20210525_103941_nn.csv; 5537095342118715238; 2023-03-16 02:15:28.261939; False; False; False; 50; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1; ;8 
../data/Video_tracking/190904/20190904_165817979_1BEE_generated_20210525_103941_nn.csv; 3282990644793373777; 2023-03-21 17:16:54.451488; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1; ;8 
../data/Video_tracking/190904/20190904_165817979_1BEE_generated_20210525_103941_nn.csv; 3282990644793373777; 2023-03-27 14:13:34.720082; False; False; False; 49; 100; 70; 20; 50; 100; ; 120; 49; 0; 508; 200; 100;  50; [[0, 900], [0, 900]]; 1; 1; 1; 0; 0; 1; 1; 1; ;8 
